Toddlin' Blues ,(LaRocca-Shields) 
Davenport Blues ,(Beiderbecke)
When My Sugar Walks Down The Street ,(Austin-McHugh-Mills) 
Prince Of Wails ,(Schoebel) 
,
,
The Bucktown Five ,
Steady Roll Blues ,(Stitzel-Bates)
Steady Roll Blues ,(Stitzel-Bates)
Mobile Blues ,(Rose-Short)
Really A Pain (A Stomp) ,(Kassel-Sturr-Spanier)
Really A Pain (A Stomp) ,(Kassel-Sturr-Spanier) 
Chicago Blues ,(Biese-Altier-Williams)
Hot Mittens ,(Stitzel-DeFaut-Saxbe) 
Hot Mittens ,(Stitzel-DeFaut-Saxbe) 
Buddy's Habits ,(Straight-Nelson)
Buddy's Habits ,(Straight-Nelson)
"Someday, Sweetheart ",(Spikes Bros.) 
Why Can’t It Be Poor Little Me ,(Kahn-Jones) 
Everybody Loves My Baby ,(Williams-Palmer)
Cruel Woman,(Hitch-McDowell-Neal)
Home Brew Blues ,(Neal-May-Rollison)
Steady Steppin' Papa ,(Spindler-Rollison) 
Baptistown Crawl ,(May-Neal-Hitch)
Ethiopian Nightmare ,(Bump-Neal) 
Cataract Rag Blues ,(Hampton) 
Nightingale Rag Blues ,(Lamb) 
Washboard Blues ,(Carmichael)
Boneyard Shuffle ,(Carmichael)
,
,
Kansas City Jazz - Bennie Moten 1923-25 / John Williams 1927,
Elephant's Wobble ,(Moten) 
Crawdad Blues ,(Moten) 
South ,(Moten-Hayes) 
Vine Street Blues ,(Moten's KC Orch.) (2:59)
Tulsa Blues ,(Moten) 
Goofy Dust ,(unknown) 
Baby Dear ,(Moten-Hayes) 
She's Sweeter Than Sugar  ,(Moten-Hayes) 
South Street Blues ,(Moten's KC Orch.) (2:41)
Sister Honky Tonk ,(Moten-Hayes) 
As I Like It ,(Moten-Hayes) 
Things Seem So Blue To Me ,(Moten-Hayes) 
18th Street Strut ,(Moten's KC Orch.) (2:56)
Kater Street Rag ,(Moten's KC Orch.) (2:29)
Midnight Stomp ,(Williams) 
Downhearted Mama ,(Williams)
The Bumps ,(Williams)
What's That Thing? ,(Williams)
Down In Gallion ,(Williams)
Goose Grease ,(Williams)
Pee Wee Blues ,(Williams)
Now Cut Loose  ,(Williams)
,
,
Bennie Moten 1926-27,
Thick Lip Stomp ,(Moten)
Thick Lip Stomp ,(Moten)
Harmony Blues ,(Moten)
Harmony Blues ,(Moten)
Kansas City Shuffle ,(Moten) 
Yazoo Blues ,(Moten) 
