solo_id,medium_title,band_name,leader_name,track_title,line_up,instrument,recording_year,performer_new,instrument_corrected
AQAK3eQnzbg05EmSHMmOJk-O5-jSOWim_0.02.56.093605-0.04.09.077705,Modern Mainstream - Zoot Sims,Zoot Sims Quartet,Zoot Sims,Zonkin',"Gus Johnson (dr), John Williams (p), Nabil 'Knobby' Totah (b), Zoot Sims (bar (p), as (p), ts) by means of overdubbing (p)",as,1956,Zoot Sims,
AQAK3eQnzbg05EmSHMmOJk-O5-jSOWim_0.04.13.049224-0.04.17.095047,Modern Mainstream - Zoot Sims,Zoot Sims Quartet,Zoot Sims,Zonkin',"Gus Johnson (dr), John Williams (p), Nabil 'Knobby' Totah (b), Zoot Sims (bar (p), as (p), ts) by means of overdubbing (p)",as,1956,Zoot Sims,
AQAK3eQnzbg05EmSHMmOJk-O5-jSOWim_0.04.21.041024-0.04.26.040253,Modern Mainstream - Zoot Sims,Zoot Sims Quartet,Zoot Sims,Zonkin',"Gus Johnson (dr), John Williams (p), Nabil 'Knobby' Totah (b), Zoot Sims (bar (p), as (p), ts) by means of overdubbing (p)",as,1956,Zoot Sims,
AQAK3eQnzbg05EmSHMmOJk-O5-jSOWim_0.04.29.086231-0.04.34.029732,Modern Mainstream - Zoot Sims,Zoot Sims Quartet,Zoot Sims,Zonkin',"Gus Johnson (dr), John Williams (p), Nabil 'Knobby' Totah (b), Zoot Sims (bar (p), as (p), ts) by means of overdubbing (p)",as,1956,Zoot Sims,
AQAKG9ESSZuORPxxKcaTzcF_1CIaLVqO_0.00.43.018040-0.01.22.059918,,Maynard Ferguson,Maynard Ferguson,Great guns,,bs,1962,Frank Hittner,
AQAKG9ESSZuORPxxKcaTzcF_1CIaLVqO_0.02.52.032979-0.03.21.048244,,Maynard Ferguson,Maynard Ferguson,Great guns,,tp,1962,"Gene Coe, Natale Pavone, Don Rader",
AQAKPYn0LEkiLdA56MxYolKOV0c69ai6_0.01.03.071555-0.02.16.039401,,Virginia Mayhew,Virginia Mayhew,Medi II,"Andy Watson (dr), Ed Cherry (g), Harvie Swartz (b), Virginia Mayhew (ts)",tb,2010,Gordon Wycliffe,
AQAKVpK4SInI4PglPOESPESPk0LoLUyQ_0.03.21.064208-0.04.11.042566,,A Salute to Eddie Condon,,Wabash blues,"Allan Vache (cl), Bob Haggart (b), Bob Havens (tb), Butch Miles (dr), Ed Polcer (cor), Jim Douglas (g), John Barnes (voc, bs), Johnny Varro (p)",ts,1993,John Barnes,bs
AQAKWksSRWGSJBFhpZxw_AgfIjl-NMsL_0.02.58.080816-0.04.04.011428,,Kenny Burrell,Kenny Burrell,In a sentimental mood,"Gary Bartz (as), George Mraz (b), Jerome Richardson (ts), Kenny Burrell (g), Nat Adderley (cor), Philly Joe Jones (dr), Quentin Jackson (tb), Sir Roland Hanna (p)",tp,1976,"Thad Jones, Snooky Young ",
AQAKXlqiJWQioQn14TdK6cKfwzqSHzlu_0.03.10.049650-0.04.06.059591,,Chet Baker,Chet Baker,Estate,"Chet Baker (tp), Philip Catherine (g)",flg,1983,Chet Baker,tp
AQAKXomSJFGSZEqyBLIOn_hwoS90H-jh_0.02.31.025478-0.02.56.047165,,Bill Watrous,Bill Watrous,La Fuerza,"Bill Watrous (tb), Harvey Mason (dr), Mike Rubin (other), Neil Stubenhaus (b), Pat Williams (other), Randy Kerber (other), Stuart Canin (other), Tim May (g)",flg,1986,Bill Watrous,tb
AQAKXomSJFGSZEqyBLIOn_hwoS90H-jh_0.03.18.043773-0.03.34.066122,,Bill Watrous,Bill Watrous,La Fuerza,"Bill Watrous (tb), Harvey Mason (dr), Mike Rubin (other), Neil Stubenhaus (b), Pat Williams (other), Randy Kerber (other), Stuart Canin (other), Tim May (g)",flg,1986,Bill Watrous,tb
AQAKXomSJFGSZEqyBLIOn_hwoS90H-jh_0.03.48.034503-0.04.15.047755,,Bill Watrous,Bill Watrous,La Fuerza,"Bill Watrous (tb), Harvey Mason (dr), Mike Rubin (other), Neil Stubenhaus (b), Pat Williams (other), Randy Kerber (other), Stuart Canin (other), Tim May (g)",flg,1986,Bill Watrous,tb
AQAKZLnUhviOZ3iMKb3gZxNRjcE7KdDE_0.01.24.050612-0.02.39.015102,,Gerry Mulligan,Gerry Mulligan,Barbara's theme,,tp,1960,"Conte Candoli, Don Ferrara, Nick Travis",
AQAKZdyeoT_-HI7xBbrx5ug_XMUToWFU_0.01.25.026367-0.02.01.062612,,Garvin Bushell,Garvin Bushell,My daddy rocks me (with one steady roll),"Garvin Bushell (other, cl), Ray Skjelbred (p), Richard Hadlock (ss), Stu Wilson (b)",tp,1982, Leon Oakley,cor
AQAKiMuibVkSBn2Ob4iUa_iPK2km_A-O_0.00.46.088979-0.02.05.051836,,Joe Henderson,Joe Henderson,Our thing,"Andrew Hill (p), Eddie Khan (b)",ts,1963,Joe Henderson,
AQAKiMuibVkSBn2Ob4iUa_iPK2km_A-O_0.02.05.051836-0.03.23.062448,,Joe Henderson,Joe Henderson,Our thing,"Andrew Hill (p), Eddie Khan (b)",tp,1963,Kenny Dorham,
