Track,CD,Boxnumber,Title,Composer,Artist,Aufnahmeort,Aufnahmedatum,Besetzung,
,,,,,,,,,
,,,,,,,,,
Jazz Roads – Classic Jazz – 232093,,,,,,,,,
,,,,,,,,,
13,3,232093,Sobbin' Blues ,(Kassell-Berton) ,King Oliver's Creole Jazz Band,Chicago,22/06/1923,"Joe 'King' Oliver (c), Louis Armstrong (c, sw), Honoré Dutrey (tb), Johnny Dodds (cl), Lil`Armstrong (p), Arthur 'Bud' Scott (bj, shouting), Baby Dodds (d).",
14,3,232093,Where Did You Stay Last Night? ,(Arsmtrong-Hardin) ,King Oliver's Creole Jazz Band,Chicago,23/06/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Lil` Armstrong (p), Arthur 'Bud'  Scott (bj, shouting), Baby Dodds (d).",
15,3,232093,Dipper Mouth Blues ,(Oliver-Armstrong) ,King Oliver's Creole Jazz Band,Chicago,23/06/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Lil` Armstrong (p), Arthur 'Bud'  Scott (bj, shouting), Baby Dodds (d).",
16,3,232093,Jazzin' Babies' Blues ,(Jones) ,King Oliver's Creole Jazz Band,Chicago,23/06/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Lil` Armstrong (p), Arthur 'Bud'  Scott (bj, shouting), Baby Dodds (d).",
17,3,232093,Alligator Hop,(Oliver-Piron) ,King Oliver's Creole Jazz Band,"Richmond, Indiana",05/10/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Paul 'Stump' Evans (Cm), Lillian Hardin (p), Johnny St. Cyr (bj), Baby Dodds (d).",
18,3,232093,Zulu's Ball ,(Oliver-Robinson) ,King Oliver's Creole Jazz Band,"Richmond, Indiana",05/10/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Paul 'Stump' Evans (Cm), Lillian Hardin (p), Johnny St. Cyr (bj), Baby Dodds (d).",
19,3,232093,Workingman Blues ,(Oliver-Hardin) ,King Oliver's Creole Jazz Band,"Richmond, Indiana",05/10/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Paul 'Stump' Evans (Cm), Lillian Hardin (p), Johnny St. Cyr (bj), Baby Dodds (d).",
20,3,232093,Krooked Blues ,(Spike-Spike-Johnson) ,King Oliver's Creole Jazz Band,"Richmond, Indiana",05/10/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Paul 'Stump' Evans (Cm), Lillian Hardin (p), Johnny St. Cyr (bj), Baby Dodds (d).",
,,,,,,,,,
,,,,,,,,,
CD 4  ,,,King Oliver's Jazz Band,,,,,,
1,4,232093,Chattanooga Stomp ,(Oliver-Picou) ,King Oliver's Jazz Band,Chicago,15/10/1923,"Joe 'King' Oliver , Louis Armstrong (c), ?Eddie Atkins (tb), Jimmie Noone (cl), Lil`Armstrong (p), Johnny St. Cyr (bj), Baby Dodds (d).",
2,4,232093,London Cafe Blues ,(Morton) ,King Oliver's Jazz Band,Chicago,15/10/1923,"Joe 'King' Oliver , Louis Armstrong (c), ?Eddie Atkins (tb), Jimmie Noone (cl), Lil`Armstrong (p), Johnny St. Cyr (bj), Baby Dodds (d).",
3,4,232093,Camp Meeting Blues ,(Oliver) ,King Oliver's Jazz Band,Chicago,16/10/1923,"Joe 'King' Oliver, Louis Armstrong (c), ?Eddie Atkins (tb), Buster Bailey (cl), Lil`Armstrong (p), Johnny St. Cyr (bj), Baby Dodds (d).",
4,4,232093,New Orleans Stomp ,(Oliver-Picou) ,King Oliver's Jazz Band,Chicago,16/10/1923,"Joe 'King' Oliver, Louis Armstrong (c), ?Eddie Atkins (tb), Buster Bailey (cl), Lil`Armstrong (p), Johnny St. Cyr (bj), Baby Dodds (d).",
